nota_fiscal;estabelecimento;pn_fornecedor;descricao_fornecedor;data_fiscal;item;numero_processo;Contrato;status_do_contrato;vencimento;depto_de_compras;quantidade_unidade_estoque;preco_total_linha;cond.pagamento;departamento;família;gestão;curva
202514;SRS;070076278;ANDREIA ALVES FERNANDES;19/02/2025;DCSR00170532;OC0045059;CS0000987;Ativo;20/12/2027;SRSFAB;22;7700;30 DIAS;MANUFATURA SRS;TERCEIROS ;INDUSTRIAL SRS;B
40976;SRS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;19/02/2025;DCSR00070901;OC0044956;CS0000894;Ativo;30/03/2027;SRSFAB;2159,33;2159,33;21 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;B
40975;SRS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;19/02/2025;DCSR00070901;OC0044957;CS0000894;Ativo;30/03/2027;SRSFAB;2150;2150;21 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;B
40974;SRS;090002919;SR TRATAMENTOS DE RES.IND.LTDA;19/02/2025;DCSR00070901;OC0044955;CS0000894;Ativo;30/03/2027;SRSFAB;2150;2150;21 DIAS;QSMA;SERVIÇOS PRESTADOS;INDUSTRIAL SRS;B
202514;SRS;070076278;ANDREIA ALVES FERNANDES;19/02/2025;DCSR00170532;OC0045059;CS0000987;Ativo;20/12/2027;SRSFAB;22;7700;30 DIAS;MANUFATURA SRS;TERCEIROS ;INDUSTRIAL SRS;B
2058;VIES;070090846;TENSAO ELETRICA MANU. E  INST. LTDA;19/02/2025;DCSR00140114;OC0044939;CS0001023;Ativo;31/12/2026;VIESFB;1;2300;30 DIAS;MANUFATURA VIES;MANUTENÇÃO ELÉTRICA;INDUSTRIAL VIES;B
2631;VIES;070090127;LM Inspeções de Peças Ltda - ME;19/02/2025;DCSR00140113;OC0045134;CS0000906;Concluído;04/09/2025;VIESFB;1;3267;15 DIAS;MANUFATURA VIES;TERCEIROS ;INDUSTRIAL VIES;B
101074;VIES;090006275;EXC CARD ADM PROCE. CARTOES SA;19/02/2025;DCSR00150101;OC0045138;CS0000950;Ativo;31/12/2026;VIESAD;73,9;73,9;20 DIAS;RECURSOS HUMANOS;BENEFICIO ;ADMINISTRATIVO;C
138160;VIES;070075717;COMPANHIA BRAS SOLUCOES E SERV;19/02/2025;DCSR00100206;OC0044914;CS0000942;Concluído;31/03/2050;VIESAD;95747,45;95747,45;30 DIAS;;;ADMINISTRATIVO;C
187;VIES;070076126;PAULO ROGERIO DE LIMA;19/02/2025;DCSR00140609;OC0045077;CS0000802;Concluído;31/03/2050;VIESPD;1;18228;30 DIAS;RECURSOS HUMANOS;SERVIÇOS PRESTADOS;ADMINISTRATIVO;
583823;OUROS;070000748;ALSCO TOALHEIRO BRASIL LTDA;19/02/2025;DCSR00030413;OC0044020;CS0000889;Ativo;31/03/2050;COFAB;1330,44;1330,44;30 DIAS;MANUFATURA CO;LOCAÇÕES EQUIPAMENTOS / VEÍCULOS;INDUSTRIAL CO;B
2025187;OUROS;070091017;VERZANI & SANDRINI S.A.;19/02/2025;DCSR00170526;OC0045037;CS0001038;Ativo;31/07/2027;COADM;21944,24;21944,24;30 DIAS;SEGURANÇA PATRIMONIAL;VIGILANCIA/PORTARIA ;SEGURANÇA PATRIMONIAL;A
537;VIES;070001594;N & N CONSTRUCOES LTDA;18/02/2025;DCSR00070203;OC0044936;CS0000758;Ativo;11/11/2026;VIESFB;1;47094;30 DIAS;MANUFATURA VIES;TERCEIROS ;INDUSTRIAL VIES;C
6996;VIES;070075967;L.R RESTAURANTE E L EIRELI EPP;18/02/2025;DCN200980001;OC0044918;CS0000961;Concluído;31/03/2050;VIESAD;2238;2238;15 DIAS;;;ADMINISTRATIVO;A
6996;VIES;070075967;L.R RESTAURANTE E L EIRELI EPP;18/02/2025;DCN190520903;OC0044918;CS0000961;Concluído;31/03/2050;VIESAD;90;405,9;15 DIAS;;;ADMINISTRATIVO;A
